Link	Condition	Processor	Screen Size	Color	Memory Card Type	Lock Status	SIM Card Slot	Brand	Network	Model	Connectivity	Style	Operating System	Features	Storage Capacity	Camera Resolution	RAM	Seller Notes	Contract	MPN	Model Number	Cellular Band	Manufacturer Warranty	Country/Region of Manufacture	UPC	Chipset Model	EAN	Cosmetic condition	Headphones	Bundled Items	Internet Connectivity	Carrier	Manufacturer Color	Bundle Description	Custom Bundle	Loudspeaker	Build	User Manual	Package Included	Duties and Tax	Charger and cable	Unit Type	Unit Quantity	Network Technology	Cosmetic Condition	Functionality Condition	Data Sanitation Status	Battery Power Rating	Device interface - primary	Audio Jack	Whats in the box	Batteries	Product Dimensions	Phone Talk Time	Special features	Net Quantity	Form factor	Wireless Carrier	Model Name	OS	Item model number	Generic Name	Memory Storage Capacity	Other camera features	Connectivity technologies	Item Dimensions LxWxH	Other display features	Country of Origin	Item Weight	Colour	Manufacturer warranty	Note	Type	Display Resolution	Battery Capacity	物品状况	Fast Fulfillment	Dimensions	Weight	Unlock Status	IMEI	Maximum Magnification	Original box	Wattage	CPU	Speakers	Resolution (Display)	MicroSD card support up to	Rear camera (Imaging)	SIM	Battery	Modified Item	No accessories	Non-Domestic Product	Bundle Listing	US Carrier Compatibility	4G/LTE	Restocking Fees	Charger	Notice	SKU	Compatible Brand	Sensors	SIM Type	Talk Time	USB Type	Size Type	Version	IMEI 2	IMEI 1	Bundle with case	Alert types	CARRIERS	Resolution	Wireless communication technologies	Camera	Important Information	Front Camera	NFC	Quad Back Cameras	GPU	Cellular Technology	GPS	Formfactor	Display technology	Wireless network technology	Accessories	Marca	Certificazione	Batterie Incluse	Origine	Seller Warranty	Grade	LOC	Manufacturer Part Number	Updates	Expansion Slot Type	Mobilfunkstandard	Please note	Extra Features	Audio	Origin	Screen Material	Battery Type	ROM	Cellular	Screen Type	CARRIERS :	Gpu	Five Back Cameras	Modification Description	Network Standard	Bluetooth	Battery life	Water Resistant (IPX grading)	Charging	Microphones	Buttons	Status	Headphone jack	USB connection	Phone Standby Time (with data	4G LTE	Internal SKU	FRONT CAMERA,	Dual Rear Camera	PHONE SCREEN SIZE	HARD DRIVE CAPACITY	CELL PHONE BATTERY	BATTERY STAND BY	BATTERY TALK TIME	CAMERA	MOBILE DEVICE CONNECTIVITY	PRIMARY COLOR	Manufacturer	Mobile Remote Betreiber	Store	Maximum Resolution	Series	Original Box	Farbe	Modell	Speicherkapazität	Compatible Phone Models	Material	Tax	Shipping	Units of size	Quantity	State of block	Frequency mobile phone	Insertion bundle	Manufacturer Colour	ProductReferenceID	Sim Lock	Состояние	Состояние товара	Примечания продавца	sku	HEADPHONES
https://www.ebay.com/itm/275016352540?nordt=true&orig_cvip=true&rt=nc	Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections.See all condition definitionsopens in a new window or tab	Quad Core	5.5 in	White	MicroSD	Network Locked	Single SIM	Nokia	Cricket Wireless	Nokia 3.1 C	USB Type-C, 4G	Bar	Android	Fast Charging	32 GB	8.0 MP	2 GB																																																																																																																																																																																							
https://www.ebay.com/itm/203145222261?nordt=true&orig_cvip=true&rt=nc	Open box	Dual Core	5.5 in		MicroSD	Factory Unlocked	Dual SIM	Nokia	unlocked	Nokia 6	4G	Bar	Android	Email, Web	64 GB	8.0 MP	4 GB	“The phone is in good condition. without earphone”	Without Contract	Does Not Apply	nokia 6																																																																																																																																																																																			
https://www.ebay.com/itm/295688872962?nordt=true&orig_cvip=true&rt=nc	New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.See all condition definitionsopens in a new window or tab	Octa Core	6.8 in	Gray	microSDXC	Network Unlocked	Single SIM	Nokia	Unlocked	Nokia 8	5G	Bar	Android	Fingerprint Sensor, Front Camera, Quad Rear Camera, Touch Screen, Wi-Fi Capable	64 GB	12.0 MP	6 GB		Without Contract	NOKTA1257	TA-1257	GSM / CDMA	1 Month	China	0810006570106																																																																																																																																																																															
https://www.ebay.com/itm/164928279178?nordt=true&orig_cvip=true&rt=nc	Used	Single Core	3.5 in		MicroSD	Factory Unlocked	Single SIM	Nokia	Unlocked	Nokia N8	3G, Bluetooth		Android	Bluetooth Enabled	16 GB	12.0 MP	512 MB	“1 year warranty, refurbished to a flawless new state, 100% genuine, professionally tested, and in ...Read moreabout the seller notes“1 year warranty, refurbished to a flawless new state, 100% genuine, professionally tested, and in normal operating condition. multi-language”Read Lessabout the seller notes	Without Contract																																																																																																																																																																																					
https://www.ebay.com/itm/145123725321?nordt=true&orig_cvip=true&rt=nc	Used	Octa Core	6.82 in	Blue	microSDXC		Single SIM	Nokia	Unlocked	Nokia G50	USB Type-C, 5G, Bluetooth, Wi-Fi, GPS	Bar	Android	Proximity Sensor, E-compass, Gyro Sensor, Accelerometer, Ambient Light Sensor, Ultra Wide-Angle Camera, Fingerprint Sensor, Triple Rear Camera	128 GB	5.0 MP, 48.0 MP, 2.0 MP	4 GB	“Excellent Condition.”		F16BYA1022007, TA-1390					0683346598501	Qualcomm Snapdragon 480																																																																																																																																																																														
https://www.ebay.com/itm/166168230447?nordt=true&orig_cvip=true&rt=nc	Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections.See all condition definitionsopens in a new window or tab			Gray		Network Locked		Nokia		Nokia 9000il					0								Lifetime																																																																																																																																																																																	
https://www.ebay.com/itm/403640590392?nordt=true&orig_cvip=true&rt=nc	Open box: An item in excellent, new condition with no wear. The item may be missing the original ...Read moreabout the conditionOpen box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description.See all condition definitionsopens in a new window or tab			Black				Nokia		Nokia 1100			Symbian		20 KB																																																																																																																																																																																									
https://www.ebay.com/itm/404078507679?nordt=true&orig_cvip=true&rt=nc	Used		2.6 in	Plum	microSDHC (dedicated slot)	Factory Unlocked	Single SIM	Samsung	Unlocked	Nokia N95	2G, 3G, Bluetooth, GPS, Mini USB, Quad-Band, Wi-Fi	Slider	Symbian OS 9.2		160 MB	5.0 MP	64MB	“Refurbished to flawless new condition, 100% Genuine, professionally tested and in full working ...Read moreabout the seller notes“Refurbished to flawless new condition, 100% Genuine, professionally tested and in full working order. This phone is A++ condition . It looks like brand new.”Read Lessabout the seller notes	Without Contract						Does not apply																																																																																																																																																																															
https://www.ebay.com/itm/204363476374?nordt=true&orig_cvip=true&rt=nc	Used			Black		Network Locked	Single SIM	Unbranded		Nokia Lumia 650	Micro USB		Windows 10 Mobile		16 GB		1 GB	“used but looks new”																																																																																																																																																																																						
https://www.ebay.com/itm/225615294208?nordt=true&orig_cvip=true&rt=nc	New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.See all condition definitionsopens in a new window or tab	Octa Core	6.5 in	Blue	microSDXC	Network Unlocked	Single SIM	Nokia	Unlocked	G100 TA-1430	USB Type-C, 5G, 4G, Headphone Jack, Wi-Fi	Bar	Android		128 GB	5.0 MP	4 GB		Without Contract	NOT SPECIFIED							6438409076021																																																																																																																																																																													
https://www.ebay.com/itm/144128577143?nordt=true&orig_cvip=true&rt=nc	Used		"3.9"""			Network Unlocked		Nokia	Unlocked	N9		smartphone	Meego	Touch Screen, Internet Browser	16GB	8.0MP		“Item has been professionally restored with a new housing, fully working, tested before ship, It ...Read moreabout the seller notes“Item has been professionally restored with a new housing, fully working, tested before ship, It come with wholeset, 1*phone,1* USB Cable,1*charger,1* box”Read Lessabout the seller notes	Without Contract	Does Not Apply			1 Year																																																																																																																																																																																	
https://www.ebay.com/itm/354841297872?nordt=true&orig_cvip=true&rt=nc	Open box: An item in excellent, new condition with no wear. The item may be missing the original ...Read moreabout the conditionOpen box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description.See all condition definitionsopens in a new window or tab	Octa Core	6.82 in	Blue	microSDXC		Single SIM	Nokia	Unlocked	Nokia G50	USB Type-C, 5G, Bluetooth, Wi-Fi, GPS	Bar	Android	Proximity Sensor, E-compass, Gyro Sensor, Accelerometer, Ambient Light Sensor, Ultra Wide-Angle Camera, Fingerprint Sensor, Triple Rear Camera	128 GB	5.0 MP, 48.0 MP, 2.0 MP	4 GB			F16BYA1022007, TA-1390					0683346598501	Qualcomm Snapdragon 480																																																																																																																																																																														
https://www.ebay.com/itm/385663103670?nordt=true&orig_cvip=true&rt=nc	New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.See all condition definitionsopens in a new window or tab	Quad-core 1.1 GHz Cortex-A7	2.8 in	Black	MicroSD	Factory Unlocked	Dual SIM (SIM + SIM)	Nokia	Unlocked		3G, 4G, Bluetooth, FM Radio	Bar	KaiOS	Bluetooth Enabled, Wi-Fi Capable, 3G Data Capable, Micro USB	4GB	2MP	512MB		Without Contract	Does Not Apply		4G	1 Year			Nokia 8000 4G																																																																																																																																																																														
https://www.ebay.com/itm/304975458095?nordt=true&orig_cvip=true&rt=nc	New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.See all condition definitionsopens in a new window or tab		2.4 in	Gray, Black	MicroSDHC		Dual SIM (SIM + SIM + Memory Card)	Nokia	Unlocked	Nokia 6300 4G	Bluetooth, 4G, Wi-Fi, Micro USB	Bar	KaiOS	Internet Connectivity	4 GB	0.3 MP	512 MB			16LIOB11A03						Qualcomm Snapdragon 210																																																																																																																																																																														
https://www.ebay.com/itm/115736264824?nordt=true&orig_cvip=true&rt=nc	Open box			Black				Nokia		Nokia 640XL					8 GB			“Open box, new! Box may be slightly damaged.”							Does not apply																																																																																																																																																																															
https://www.ebay.com/itm/374736160077?nordt=true&orig_cvip=true&rt=nc	Used			Silver		Network Unlocked		Nokia	Unlocked	Nokia 8800		Slider			64 MB			“fully working,has signs from normal use, I would rate it 7.0/10.”		8801SLVTMB, NOKIA8801, 0044047, NOK8801				Germany	0758478006016																																																																																																																																																																															
https://www.ebay.com/itm/364112800525?nordt=true&orig_cvip=true&rt=nc	Used	Single Core	"4"""		No	Factory Unlocked	Single SIM	Nokia	Unlocked	Nokia E7-00	2G, 3G, Bluetooth, GPS, Micro USB, Quad-Band, Wi-Fi	Slider	Symbian	Bluetooth Enabled, GPS, Music Player, Touch Screen, Wi-Fi Capable, 3G Data Capable	16GB	8.0MP	256M	“Refurbished to flawless new condition, 100% Genuine, professionally tested and in full working ...Read moreabout the seller notes“Refurbished to flawless new condition, 100% Genuine, professionally tested and in full working order. This phone is A++ condition . It looks like brand new.”Read Lessabout the seller notes	Without Contract	Does Not Apply																																																																																																																																																																																				
https://www.ebay.com/itm/125724645720?nordt=true&orig_cvip=true&rt=nc	Open box: An item in excellent, new condition with no wear. The item may be missing the original ...Read moreabout the conditionOpen box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description.See all condition definitionsopens in a new window or tab	Single Core	2.8 in	Black		Network Unlocked		Nokia	Rogers Wireless	Nokia N95	Micro USB		Symbian	GPS	160 MB	5.0 MP				002D994, 002B2X4, HNOKN958GVF		GSM 900																																																																																																																																																																																		
https://www.ebay.com/itm/394659421021?nordt=true&orig_cvip=true&rt=nc	Open box: An item in excellent, new condition with no wear. The item may be missing the original ...Read moreabout the conditionOpen box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description.See all condition definitionsopens in a new window or tab		2.4 in	Gray, Black	MicroSDHC		Dual SIM (SIM + SIM + Memory Card)	Nokia	Unlocked	Nokia 6300 4G	Bluetooth, 4G, Wi-Fi, Micro USB	Bar	KaiOS	Internet Connectivity	4 GB	0.3 MP	512 MB			16LIOB11A03						Qualcomm Snapdragon 210		Good	Yes																																																																																																																																																																											
https://www.ebay.com/itm/134108122391?nordt=true&orig_cvip=true&rt=nc	New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.See all condition definitionsopens in a new window or tab		2.8 in	Black		Network Unlocked	Single SIM	Nokia	TracFone, Unlocked	Nokia 2760	4G, LTE	Flip			4 GB	5 MP	512 MB		Prepaid	2760					195925366567																																																																																																																																																																															
https://www.ebay.com/itm/155459999371?nordt=true&orig_cvip=true&rt=nc	Open box		"2.4"""	Multi-Color				Nokia	Unlocked	Nokia 800 Tough	4G	Bar		GPS	&lt;2G	2.0 MP	&lt;128M	“An product that has been professionally restored to working”	Without Contract						Does Not Apply					Adaptor, Cable																																																																																																																																																																										
https://www.ebay.com/itm/394447496059?nordt=true&orig_cvip=true&rt=nc	Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections.See all condition definitionsopens in a new window or tab			Black red			Dual SIM (SIM + SIM)	Nokia	Unlocked	Nokia 107				FM Radio	512 MB																																																																																																																																																																																									
https://www.ebay.com/itm/185934443923?nordt=true&orig_cvip=true&rt=nc	Used			Gray				Nokia	Unlocked	NOKIA G400 5G	5G	Bar	Android	Bluetooth Enabled, GPS, TouchScreen, Wi-Fi Capable, Speakerphone	64GB			“Device is CLEAR FOR ACTIVATION -  Please contact us right away if you do experience any problems ...Read moreabout the seller notes“Device is CLEAR FOR ACTIVATION -  Please contact us right away if you do experience any problems with activation.  This item is in GOOD cosmetic condition. It reflects NORMAL USE and has MINOR scratches and/or blemishes.”Read Lessabout the seller notes													true	GSM Unlocked																																																																																																																																																																								
https://www.ebay.com/itm/133907759709?nordt=true&orig_cvip=true&rt=nc	New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.See all condition definitionsopens in a new window or tab	Single Core	1.77 in		MicroSD	Factory Unlocked	Dual SIM (SIM + SIM)	Nokia	Unlocked	Nokia 110	2G			Camera, FM Radio		0.3 MP	4MB		Without Contract	Nokia 110 TA-1319 DS	110																																																																																																																																																																																			
https://www.ebay.com/itm/255973031950?nordt=true&orig_cvip=true&rt=nc	New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.See all condition definitionsopens in a new window or tab			Black	MicroSD	Network Locked	Single SIM	Nokia	TracFone	Nokia 2760	4G	Flip		Email, Web, Email Access, Large Buttons, Camera, Color Screen, Music Player	8 MB	5.0 MP			Prepaid	STNKN139DCP	2760				0616960434122																																																																																																																																																																															
https://www.ebay.com/itm/144077676979?nordt=true&orig_cvip=true&rt=nc	Open box		2.2 in		microSDHC (dedicated slot)	Factory Unlocked		Nokia	Unlocked	Nokia 3710	2G, 3G, Bluetooth, GPS	Flip		Bluetooth Enabled, Music Player		3.2 MP		“Refurbished to flawless new condition, 100% Genuine, professionally tested and in full working ...Read moreabout the seller notes“Refurbished to flawless new condition, 100% Genuine, professionally tested and in full working order. 1 Year warranty.It comes with full set. 1*phone, 1*usb cable, 1*charger, 1*retail box”Read Lessabout the seller notes	Without Contract		Nokia 3710 fold		1 year										Multi color																																																																																																																																																																							
https://www.ebay.com/itm/324815796867?nordt=true&orig_cvip=true&rt=nc	Used			Blue and Silver				Nokia		C3-00.1					NA			“Works perfectly. Some minor wear around the body. Screen has some scuffs. No breaks or cracks. Port ...Read moreabout the seller notes“Works perfectly. Some minor wear around the body. Screen has some scuffs. No breaks or cracks. Port cover is fully intact”Read Lessabout the seller notes																Includes phone, pouch, and wall charger	Yes																																																																																																																																																																					
https://www.ebay.com/itm/384855780202?nordt=true&orig_cvip=true&rt=nc	Open box: An item in excellent, new condition with no wear. The item may be missing the original ...Read moreabout the conditionOpen box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description.See all condition definitionsopens in a new window or tab			Black			Single SIM	Nokia	Unlocked	1202					4 MB																																																																																																																																																																																									
https://www.ebay.com/itm/145047510754?nordt=true&orig_cvip=true&rt=nc	Used					Factory Unlocked		Nokia	Unlocked	Nokia 1100	2G	Bar	Dumbphone OS	Support Russian& Arabic Keyboard	≤512M	None		“The phone has been professionally restored to working properly. The phone has been inspected, ...Read moreabout the seller notes“The phone has been professionally restored to working properly. The phone has been inspected, cleaned, and restored to meet manufacturer new product specifications and is in excellent condition. No scratches and scuffs. Including produced accessories and package box.”Read Lessabout the seller notes	Without Contract			GSM 900/1800	1 Year																																																																																																																																																																																	
https://www.ebay.com/itm/134328729681?nordt=true&orig_cvip=true&rt=nc	New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.See all condition definitionsopens in a new window or tab							Nokia							N\A					G100					195925497025																																																																																																																																																																															
https://www.ebay.com/itm/134584487256?nordt=true&orig_cvip=true&rt=nc	New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.See all condition definitionsopens in a new window or tab			White				Nokia		7260					n/a																																																																																																																																																																																									
https://www.ebay.com/itm/374751047110?nordt=true&orig_cvip=true&rt=nc	Open box: An item in excellent, new condition with no wear. The item may be missing the original ...Read moreabout the conditionOpen box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description.See all condition definitionsopens in a new window or tab			Gray				Nokia		8860					20 KB								Lifetime																																																																																																																																																																																	
https://www.ebay.com/itm/195348158374?nordt=true&orig_cvip=true&rt=nc	New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.See all condition definitionsopens in a new window or tab	Single Core	1.8 in	Gray	MicroSD	Factory Unlocked	Single SIM	Nokia	Unlocked	Nokia 106 (2018)	2G	Bar	Android	Camera, Color Screen, FM Radio	4 MB	Not Applicable			Without Contract	NOKIA 106		GSM 900			6438409024787	Mediatek MT6261D									No	Yes	Glass front, plastic back, plastic frame																																																																																																																																																																			
https://www.ebay.com/itm/175350320679?nordt=true&orig_cvip=true&rt=nc	Used			N/A				Nokia		Nokia Lumia 1020								“You will receive the items in the photos! THIS IS A GRADE B PHONE!”																																																																																																																																																																																						
https://www.ebay.com/itm/302800160976?nordt=true&orig_cvip=true&rt=nc	Open box					Unlocked		Nokia		Nokia 7230		Slider	Symbian	Bluetooth Enabled, Music Player	45 MB	3.15MP	&lt;128MB	“Renewed to new condition,  100% working and tested before ship,one year warranty!”	Without Contract	Does Not Apply																																																																																																																																																																																				
https://www.ebay.com/itm/334864928834?nordt=true&orig_cvip=true&rt=nc	Used					Factory Unlocked		Nokia	Unlocked	Nokia 3100	2G, GPRS, Tri-Band	Bar			≤512M	None		“The phone has been professionally restored to working properly. The phone has been inspected, ...Read moreabout the seller notes“The phone has been professionally restored to working properly. The phone has been inspected, cleaned, and restored to meet manufacturer new product specifications and is in excellent condition. No scratches and scuffs. Including produced accessories and package box.”Read Lessabout the seller notes	Without Contract			GSM 900/1800	1 Year																																																																																																																																																																																	
https://www.ebay.com/itm/354759314702?nordt=true&orig_cvip=true&rt=nc	Open box			Black	MicroSD			Nokia	Unlocked	Nokia X2-00	Bluetooth, Micro USB				48 MB	5.0 MP		“original Phone (multiple keyboards and languages to choose ) + new charger and battery + Nokia box”		002Q455																																																																																																																																																																																				
https://www.ebay.com/itm/125416925147?nordt=true&orig_cvip=true&rt=nc	New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.See all condition definitionsopens in a new window or tab	Single Core	5.45 in	Black		Factory Unlocked	Single SIM	Nokia	Unlocked	C100	Bluetooth		Android 12		32 GB	5.0 MP	3 GB		Prepaid	STNKN152DCP					195925399794																																																																																																																																																																															
https://www.ebay.com/itm/115736268776?nordt=true&orig_cvip=true&rt=nc	New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.See all condition definitionsopens in a new window or tab			Black				Nokia		Nokia 640XL					8 GB										Does not apply																																																																																																																																																																															
https://www.ebay.com/itm/115736272873?nordt=true&orig_cvip=true&rt=nc	New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.See all condition definitionsopens in a new window or tab			White				Nokia		Nokia Lumia 822					16 GB										Does not apply																																																																																																																																																																															
https://www.ebay.com/itm/302418175062?nordt=true&orig_cvip=true&rt=nc	Open box		"2.4"""	Black		Network Unlocked		Nokia		Nokia E72		Bar	Symbian	Bluetooth Enabled, GPS, Music Player, Wi-Fi Capable, 3G Data Capable	2 GB	5.0MP	128M	“Renewed to new condition,  100% working and tested before ship,one year warranty!”	Without Contract	Does Not Apply					Does not apply					Battery and Charger																																																																																																																																																																										
https://www.ebay.com/itm/284983233053?nordt=true&orig_cvip=true&rt=nc	New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.See all condition definitionsopens in a new window or tab	Quad	5.45 in	Blue		Network Locked	Single SIM	Total By Verizon		Not Available	4G Bluetooth GPS LTE	Bar	Android		32 GB		3GB		Prepaid	TVNKN152DCP			1 Year Warranty	United States	616960471912																																																																																																																																																																															
https://www.ebay.com/itm/225533311171?nordt=true&orig_cvip=true&rt=nc	New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.See all condition definitionsopens in a new window or tab							Nokia							N/A					TA-1450					Does not apply		6438409079886											Not included. You may download from offical website	Charger Adapter if needed, Battery (Int./External)	Not included. Please check with the customs of your country.																																																																																																																																																																
https://www.ebay.com/itm/144654363796?nordt=true&orig_cvip=true&rt=nc	Used			Black				Nokia		Lumia 520					8GB			“No Charger”																																																																																																																																																																																						
https://www.ebay.com/itm/394503877723?nordt=true&orig_cvip=true&rt=nc	Open box: An item in excellent, new condition with no wear. The item may be missing the original ...Read moreabout the conditionOpen box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description.See all condition definitionsopens in a new window or tab	Single Core	1.8 in	Black	MicroSD	Factory Unlocked	Single SIM	Nokia	Unlocked	Nokia 6310i	2G, 3G	Bar	Symbian	QWERTY Keyboard	123 KB	2.0 MP	128MB		Without Contract	6310I_BLACKRW, 6310I, NOKIA 6310I (AT&T - GSM)			1 Year	China		6310i															Yes																																																																																																																																																															
https://www.ebay.com/itm/115726684489?nordt=true&orig_cvip=true&rt=nc	Used	Dual Core	6 in	Black	MicroSD	Network Unlocked	Single SIM	Nokia	International (Southeast Asia Version)	Nokia Lumia 1320	4G	Bar	Microsoft Windows Phone	Accelerometer, Bluetooth Enabled, Camera, Color Screen, Email, Web, Email Access, FM Radio, Front Camera, Internet Connectivity, MMS (Multimedia Messaging), Proximity Sensor, Rear Camera, Speakerphone, Touch Screen, Wi-Fi Capable	8 GB	5.0 MP	1 GB	“EXCELLENT - Very Good - Tested & Fully Functional: Device + Battery + Back Cover”	Without Contract	RM-994	1320																																																																																																																																																																																			
https://www.ebay.com/itm/143931238188?nordt=true&orig_cvip=true&rt=nc	Used		"1.8"""	Multi-Color				Nokia	Unlocked	Nokia 108		Bar	Symbian	Bluetooth Enabled, Music Player	<2GB	YES		“Refurbished to flawless new condition, 100% Genuine, professionally tested and in full working ...Read moreabout the seller notes“Refurbished to flawless new condition, 100% Genuine, professionally tested and in full working order. 1 Year warranty”Read Lessabout the seller notes	Without Contract	Does Not Apply													Black, blue, red																																																																																																																																																																							
https://www.ebay.com/itm/394676124633?nordt=true&orig_cvip=true&rt=nc	For parts or not working: An item that does not function as intended and is not fully operational. ...Read moreabout the conditionFor parts or not working: An item that does not function as intended and is not fully operational. This includes items that are defective in ways that render them difficult to use, items that require service or repair, or items missing essential components. See the seller’s listing for full details.See all condition definitionsopens in a new window or tab		Various	Multicolor				Motorola			3G	Flip	Android	Camera					Without Contract						Does not apply																	Unit	8																																																																																																																																																													
