Title	Price	Shipping_cost	Sales_Count	Sales_Value	Link	Last_Sale
Nokia G100 4G (32GB) 6.5'' Screen 13MP Triple Camera CDMA Straight Talk Prepaid	$60.83	$0.00	6	$365.00	https://www.ebay.com/itm/134328729681?nordt=true&orig_cvip=true&rt=nc	Jun 12, 2023
2004 Nokia 7260 (International) Vintage Cell Phone Gray - NEW IN BOX	$159.99	$7.19	1	$159.99	https://www.ebay.com/itm/134584487256?nordt=true&orig_cvip=true&rt=nc	Jun 12, 2023
Nokia 8860 Cell Phone - Complete w/ Box, Manuals & Original Receipt	$140.00	$17.10	1	$140.00	https://www.ebay.com/itm/374751047110?nordt=true&orig_cvip=true&rt=nc	Jun 12, 2023
Nokia 106 Dual-Band GSM Unlocked Phone Brand New	$29.30	$9.13	227	$6,650.52	https://www.ebay.com/itm/195348158374?nordt=true&orig_cvip=true&rt=nc	Jun 12, 2023
NOKIA LUMIA 1020 (AT&T) CLEAN, WORKS, PLEASE READ! 50319	$43.55	$0.00	1	$43.55	https://www.ebay.com/itm/175350320679?nordt=true&orig_cvip=true&rt=nc	Jun 12, 2023
Original Unlocked Nokia 7230 3G Mobile Phone 3.15MP Bluetooth FM JAVA MP3 Player	$40.88	$0.00	10	$408.76	https://www.ebay.com/itm/302800160976?nordt=true&orig_cvip=true&rt=nc	Jun 12, 2023
Nokia 3100 Mobile Phone Unlocked GSM keyboard Tri-Band cellphone+1 Year WARRANTY	$19.00	$0.00	4	$76.00	https://www.ebay.com/itm/334864928834?nordt=true&orig_cvip=true&rt=nc	Jun 12, 2023
Nokia X Series X2-00 - Black on red (Unlocked) Cellular Phone	$22.00	$7.00	1	$22.00	https://www.ebay.com/itm/354759314702?nordt=true&orig_cvip=true&rt=nc	Jun 12, 2023
Nokia STNKN152DCP C100 32GB ROM Straight Talk Prepaid Smartphone - Gray	$28.80	$0.00	217	$6,250.17	https://www.ebay.com/itm/125416925147?nordt=true&orig_cvip=true&rt=nc	Jun 12, 2023
Nokia 640XL Black AT-UN-03S	$15.26	$0.00	1	$15.26	https://www.ebay.com/itm/115736268776?nordt=true&orig_cvip=true&rt=nc	Jun 12, 2023
Nokia Lumia 822 White	$15.23	$0.00	1	$15.23	https://www.ebay.com/itm/115736272873?nordt=true&orig_cvip=true&rt=nc	Jun 12, 2023
 Unlocked Original Nokia E72 3G Bluetooth 5MP BLACK GPS WIFI Bar Mobile Phone	$36.22	$0.00	9	$326.02	https://www.ebay.com/itm/302418175062?nordt=true&orig_cvip=true&rt=nc	Jun 12, 2023
Total by Verizon Nokia C100, 64GB, Blue - Prepaid Smartphone (Locked)	$33.51	$0.00	71	$2,379.29	https://www.ebay.com/itm/284983233053?nordt=true&orig_cvip=true&rt=nc	Jun 12, 2023
Nokia X30 𝟱𝗚 𝑫𝒖𝒂𝒍 𝑺𝑰𝑴 TA-1450 Blue 8+256GB 📡𝐆𝐒𝐌 🔓𝗨𝗻𝗹𝗼𝗰𝗸𝗲𝗱	$463.99	$0.00	1	$463.99	https://www.ebay.com/itm/225533311171?nordt=true&orig_cvip=true&rt=nc	Jun 12, 2023
Nokia Lumia 520 (AT&T) 3G GSM Smartphone RM-915 - Black, 8GB	$19.44	$0.00	9	$174.96	https://www.ebay.com/itm/144654363796?nordt=true&orig_cvip=true&rt=nc	Jun 12, 2023
Original Unlocked Nokia 6310i  3 Colors CellPhone 2G Classical Mobile Phone	$61.88	$12.00	4	$247.52	https://www.ebay.com/itm/394503877723?nordt=true&orig_cvip=true&rt=nc	Jun 12, 2023
Nokia Lumia 1320 4G LTE GSM Windows Smartphone International Version (RM-994)	$39.99	$0.00	1	$39.99	https://www.ebay.com/itm/115726684489?nordt=true&orig_cvip=true&rt=nc	Jun 12, 2023
Nokia 108 Dual Sim FM Radio GSM Bluetooth phone English/Russian/Arabic keyboard	$27.35	$7.99	6	$164.08	https://www.ebay.com/itm/143931238188?nordt=true&orig_cvip=true&rt=nc	Jun 12, 2023
Lot of 8 OLD Used Cell / Flip Phones Nokia, Motorola, LG, Samsung - Parts/Repair	$24.99	$16.30	1	$24.99	https://www.ebay.com/itm/394676124633?nordt=true&orig_cvip=true&rt=nc	Jun 12, 2023
Nokia X100 Unlocked  - 5G 128GB - Midnight Blue 48MP Camera	$166.20	$0.00	14	$2,326.86	https://www.ebay.com/itm/165573573499?nordt=true&orig_cvip=true&rt=nc	Jun 12, 2023
Tracfone Nokia C100 + 1 Year of Service with 1500 MIN/1500 Text/1500MB	$55.19	$0.00	952	$52,540.48	https://www.ebay.com/itm/284929348332?nordt=true&orig_cvip=true&rt=nc	Jun 12, 2023
Nokia 2690 Original Unlocked Mobile Phone Message Bluetooth Camera Video FM	$26.84	$0.00	6	$161.02	https://www.ebay.com/itm/173457649483?nordt=true&orig_cvip=true&rt=nc	Jun 12, 2023
"Nokia 6300 4G (Single SIM)  GSM Factory Unlocked 2.4"" Display LED Flash - NEW"	$76.87	$12.61	8	$614.92	https://www.ebay.com/itm/304895874483?nordt=true&orig_cvip=true&rt=nc	Jun 12, 2023
Nokia 8310 - black Blue white red (Unlocked) 2G GSM Cellular Phone	$15.99	$7.00	2	$31.98	https://www.ebay.com/itm/394069154466?nordt=true&orig_cvip=true&rt=nc	Jun 12, 2023
Nokia 2720 Fold - Black (T-Mobile) unlocked Cellular Phone	$44.00	$0.00	1	$44.00	https://www.ebay.com/itm/125393801168?nordt=true&orig_cvip=true&rt=nc	Jun 12, 2023
"Unlocked Original Nokia 5130 XpressMusic Bluetooth Camera MP3 2.0"" Mobile Phone"	$29.71	$0.00	3	$89.13	https://www.ebay.com/itm/284219544542?nordt=true&orig_cvip=true&rt=nc	Jun 12, 2023
Original Nokia 3310 Blue 2G GSM 900/1800 Unlocked Classic Phone 1 Year WARRANTY	$15.83	$8.93	9	$142.44	https://www.ebay.com/itm/145023040060?nordt=true&orig_cvip=true&rt=nc	Jun 12, 2023
Original Nokia 3310 blue Unlocked 2G GSM 900/1800 Cellular Phone	$24.66	$6.25	371	$9,147.95	https://www.ebay.com/itm/144258115942?nordt=true&orig_cvip=true&rt=nc	Jun 12, 2023
BNIB Nokia G11 Dual-SIM 32GB ROM + 3GB RAM Charcoal Factory Unlocked 4G/LTE GSM	$269.00	$0.00	1	$269.00	https://www.ebay.com/itm/294820414953?nordt=true&orig_cvip=true&rt=nc	Jun 12, 2023
NOKIA X100  5G 128GB  6GB RAM Metro by T-Mobile Smart Phone	$189.00	$19.96	6	$1,134.00	https://www.ebay.com/itm/265948178128?nordt=true&orig_cvip=true&rt=nc	Jun 12, 2023
 Nokia 106-TA-1190 Unlocked  GSM Global Basic Cell Phone 	$13.00	$0.00	1	$13.00	https://www.ebay.com/itm/374750058433?nordt=true&orig_cvip=true&rt=nc	Jun 12, 2023
Nokia G20 - 128GB -(Unlocked) (Dual SIM) 4G LTE GSM Night Blue	$114.99	$8.68	6	$689.94	https://www.ebay.com/itm/304873790380?nordt=true&orig_cvip=true&rt=nc	Jun 12, 2023
Nokia STNKN139DCP Straight Talk 2760 Flip 2.83'' 4G 4GB 1.3GHz Quad-Core	$26.93	$50.00	192	$5,171.04	https://www.ebay.com/itm/115319043912?nordt=true&orig_cvip=true&rt=nc	Jun 12, 2023
Original Nokia 6230 6230i Bluetooth MP3 FM 1.3MP Cheap Unlocked Mobile Phone	$25.09	$0.00	7	$175.65	https://www.ebay.com/itm/403870665895?nordt=true&orig_cvip=true&rt=nc	Jun 12, 2023
Nokia 6300 4G LTE GSM Factory Unlocked Hotspot At&t Metro Tmobile VoLTE Whatsapp	$115.00	$13.30	23	$2,645.00	https://www.ebay.com/itm/161916673272?nordt=true&orig_cvip=true&rt=nc	Jun 12, 2023
Nokia 3250 XpressMusic Original Symbian OS Music 2G GSM 900 1800 1900 Cellphone	$75.26	$0.00	2	$150.52	https://www.ebay.com/itm/234531153727?nordt=true&orig_cvip=true&rt=nc	Jun 12, 2023
Unlocked Nokia Classic 6303 6303C 6303i - Black&Silver  Cellular Phone	$36.28	$2.32	10	$362.79	https://www.ebay.com/itm/353117230672?nordt=true&orig_cvip=true&rt=nc	Jun 12, 2023
"Unlocked Nokia 225 TA-1282 2.4"" QVGA LCD 64MB Radio 4G LTE GSM microSDHC Black"	$39.49	$4.56	48	$1,895.65	https://www.ebay.com/itm/203508624871?nordt=true&orig_cvip=true&rt=nc	Jun 12, 2023
READ Nokia G50 5G Unlocked 128GB Ocean Blue Good (S5)	$54.99	$14.25	1	$54.99	https://www.ebay.com/itm/204361380614?nordt=true&orig_cvip=true&rt=nc	Jun 12, 2023
"Nokia N-gage QD Game 2.1"" bluetooth multilingual mobile phone GSM 900/1800"	$76.99	$0.00	8	$615.92	https://www.ebay.com/itm/266278889613?nordt=true&orig_cvip=true&rt=nc	Jun 12, 2023
Vtg Nokia 6010 2G GSM Bar Style Mobile Cell Phone Unlocked with Batiery Mini-SIM	$38.00	$4.99	2	$76.00	https://www.ebay.com/itm/383740359647?nordt=true&orig_cvip=true&rt=nc	Jun 12, 2023
Nokia Asha 210 GSM Unlocked QWERTY Keyboard Bluetooth Wifi Dual SIM Cell Phone	$31.82	$3.05	90	$2,863.82	https://www.ebay.com/itm/275175584080?nordt=true&orig_cvip=true&rt=nc	Jun 12, 2023
Nokia XpressMusic 5300 - Red (Unlocked) Cellular Phone	$38.80	$0.00	5	$194.00	https://www.ebay.com/itm/373982179197?nordt=true&orig_cvip=true&rt=nc	Jun 12, 2023
Sealed Nokia 6010 Cingular Silver Cell Phone Vintage T-Mobile	$49.99	$0.00	1	$49.99	https://www.ebay.com/itm/145071085379?nordt=true&orig_cvip=true&rt=nc	Jun 12, 2023
Original Nokia N900 Unlocked cell phone GSM 3G GPS WIFI 5MP 32GB internal memory	$77.67	$15.00	4	$310.68	https://www.ebay.com/itm/265333595598?nordt=true&orig_cvip=true&rt=nc	Jun 12, 2023
NEW Nokia 225 4G - TA-1282 - Black (Unlocked) LTE GSM Global Basic Cell Phone	$41.94	$12.64	927	$38,876.74	https://www.ebay.com/itm/403359699561?nordt=true&orig_cvip=true&rt=nc	Jun 12, 2023
Nokia - N139DL - (TracFone Wireless) - Flip Cell Phone - Black - WORKS GREAT!!!	$13.99	$0.00	1	$13.99	https://www.ebay.com/itm/334905890307?nordt=true&orig_cvip=true&rt=nc	Jun 12, 2023
Nokia 8 V 5G UW TA-1257 64GB Verizon Fair Condition Check IMEI 	$64.95	$0.00	1	$64.95	https://www.ebay.com/itm/334842525226?nordt=true&orig_cvip=true&rt=nc	Jun 12, 2023
Nokia C Series C2-01 Black Gold Unlocked Hebrew English Keyboard Bar Phone	$37.09	$0.00	3	$111.27	https://www.ebay.com/itm/225500766895?nordt=true&orig_cvip=true&rt=nc	Jun 12, 2023
Refurbished Nokia 110 Unlocked Cellphone Dual SIM 2G GSM 900 1800 Mobile Phone	$20.91	$7.99	3	$62.72	https://www.ebay.com/itm/144207204773?nordt=true&orig_cvip=true&rt=nc	Jun 12, 2023
Nokia X100 - 128GB - Midnight Blue (T-Mobile)	$70.00	$22.63	1	$70.00	https://www.ebay.com/itm/204364708186?nordt=true&orig_cvip=true&rt=nc	Jun 12, 2023
Nokia X100 5G - 128GB - Midnight Blue - (T-Mobile Unlocked) - C Stock 	$86.53	$12.17	37	$3,201.61	https://www.ebay.com/itm/195024908554?nordt=true&orig_cvip=true&rt=nc	Jun 12, 2023
Nokia 6300 4G Cell Phone - Cyan (Unlocked) (Dual SIM)	$41.00	$0.00	1	$41.00	https://www.ebay.com/itm/125972554447?nordt=true&orig_cvip=true&rt=nc	Jun 12, 2023
Nokia G400 5G - 64GB - Meteor Gray (METRO)	$45.00	$0.00	1	$45.00	https://www.ebay.com/itm/304957177140?nordt=true&orig_cvip=true&rt=nc	Jun 12, 2023
Nokia VIPRB-MATE 2 G400 6.6'' 5G 4GB RAM 64GB Storage Consumer Cellular	$92.33	$0.00	3	$277.00	https://www.ebay.com/itm/134501169040?nordt=true&orig_cvip=true&rt=nc	Jun 12, 2023
"Nokia C01 Plus Go Edition 5.45"" Android Smartphone Blue /32GB/ GSM/CDMA Unlocked"	$39.49	$0.00	5	$197.47	https://www.ebay.com/itm/394640338637?nordt=true&orig_cvip=true&rt=nc	Jun 12, 2023
Nokia C2 US (TA-1226) 32GB (Cricket Wireless) Smartphone - Clean IMEI - K3069	$31.99	$0.00	1	$31.99	https://www.ebay.com/itm/145097015207?nordt=true&orig_cvip=true&rt=nc	Jun 12, 2023
Nokia 6233 - Black (Unlocked) Cellular Phone Very new , working very well	$45.47	$0.00	3	$136.40	https://www.ebay.com/itm/385231811069?nordt=true&orig_cvip=true&rt=nc	Jun 12, 2023
Mix 14 phones: lg k4 × 1; Xperia x white × 1; lg g4; Lumia 950 XL × 3; Nokia 2.1	$300.00	$200.00	1	$300.00	https://www.ebay.com/itm/404330089611?nordt=true&orig_cvip=true&rt=nc	Jun 12, 2023
"Lot of 4 As-is Locked Nokia C20 Plus Blue, 6.5"" HD Screen 32GB 4G Unlocked"	$150.00	$0.00	1	$150.00	https://www.ebay.com/itm/275875507552?nordt=true&orig_cvip=true&rt=nc	Jun 12, 2023
 Nokia X2-00 Mobile Phone Bluetooth FM MP3 MP4 Player Original Unlocked CellPhon	$29.96	$0.00	6	$179.76	https://www.ebay.com/itm/374253661493?nordt=true&orig_cvip=true&rt=nc	Jun 12, 2023
Nokia 6300 (Unlocked) Cellular Phone	$29.76	$0.00	17	$506.00	https://www.ebay.com/itm/374330971956?nordt=true&orig_cvip=true&rt=nc	Jun 12, 2023
NEW Classic Nokia 6230i - 32MB - Silver (Unlocked) Mobile Phone	$25.00	$0.00	1	$25.00	https://www.ebay.com/itm/374242614282?nordt=true&orig_cvip=true&rt=nc	Jun 12, 2023
New Nokia C2 (2E) Dual-SIM 32GB ROM/2GB RAM GSM factory unlocked Cell Phone GR	$73.97	$0.00	14	$1,035.58	https://www.ebay.com/itm/325657977482?nordt=true&orig_cvip=true&rt=nc	Jun 12, 2023
Nokia N-Gage Game Deck (Unlocked) Smartphone (76858)	$599.00	$0.00	1	$599.00	https://www.ebay.com/itm/225093413880?nordt=true&orig_cvip=true&rt=nc	Jun 12, 2023
Nokia N70	$38.00	$0.00	1	$38.00	https://www.ebay.com/itm/314221288114?nordt=true&orig_cvip=true&rt=nc	Jun 12, 2023
New Condition Original Nokia C5-00 Unlocked  Russian Hebrew Keyboard Cellphone	$37.43	$0.00	28	$1,048.00	https://www.ebay.com/itm/262961898488?nordt=true&orig_cvip=true&rt=nc	Jun 12, 2023
Nokia E71 Working Sell Phone Silver	$25.00	$25.00	1	$25.00	https://www.ebay.com/itm/403696867091?nordt=true&orig_cvip=true&rt=nc	Jun 12, 2023
Original Nokia C5-00 Unlocked 3G 5MP Camera WCDMA Bluetooth GPS Bar Mobile Phone	$34.56	$4.39	20	$691.28	https://www.ebay.com/itm/275308402057?nordt=true&orig_cvip=true&rt=nc	Jun 11, 2023
Nokia X100 5G - 128GB - Midnight Blue - (T-Mobile Unlocked) - Very Good	$107.98	$23.43	113	$12,201.41	https://www.ebay.com/itm/195009040283?nordt=true&orig_cvip=true&rt=nc	Jun 11, 2023
Hot Sale Nokia 3100 Blue 2G Tri-band Original Unlocked GSM 850 mAh Cellphone	$13.10	$13.00	9	$117.91	https://www.ebay.com/itm/144447580202?nordt=true&orig_cvip=true&rt=nc	Jun 11, 2023
Nokia Lumia 1020 RM-877 32GB AT&T 41MP Camera - Black -	$40.00	$14.98	1	$40.00	https://www.ebay.com/itm/125971451968?nordt=true&orig_cvip=true&rt=nc	Jun 11, 2023
Nokia G300 - 64GB - Meteor Gray (Safelink) (Single SIM)	$50.00	$10.95	1	$50.00	https://www.ebay.com/itm/285314421187?nordt=true&orig_cvip=true&rt=nc	Jun 11, 2023
Brand New Nokia 8 V 5G UW TA-1257 - 64GB - Meteor Gray (Verizon)	$39.01	$17.11	56	$2,184.81	https://www.ebay.com/itm/164873629863?nordt=true&orig_cvip=true&rt=nc	Jun 11, 2023
"Unlocked Nokia 2780 Flip TA-1420 2.8"" 1.77"" 4G 512MB 5MP 4G LTE WiFi Bluetooth"	$80.12	$12.03	31	$2,483.69	https://www.ebay.com/itm/195579385237?nordt=true&orig_cvip=true&rt=nc	Jun 11, 2023
Nokia 5.3 (TA-1223) 64GB - Green (GSM Unlocked) Dual SIM Smartphone - J9989	$77.07	$0.00	1	$77.07	https://www.ebay.com/itm/134451066318?nordt=true&orig_cvip=true&rt=nc	Jun 11, 2023
Original Unlocked Nokia 6600 - Light gray (Unlocked) Smartphone 1 year warranty	$33.45	$6.57	14	$468.27	https://www.ebay.com/itm/394201453464?nordt=true&orig_cvip=true&rt=nc	Jun 11, 2023
Nokia N8-00 (Moviestar) Black Smartphone - ASIS (357398046188543)	$46.00	$11.20	1	$46.00	https://www.ebay.com/itm/134433281772?nordt=true&orig_cvip=true&rt=nc	Jun 11, 2023
Nokia G50 5G 128GB TA-1390 Factory Unlocked 6.82 in 4GB RAM Smartphone - NEW	$149.95	$38.02	3	$449.85	https://www.ebay.com/itm/295646431794?nordt=true&orig_cvip=true&rt=nc	Jun 11, 2023
Nokia G50 5G 128GB TA-1390 Factory Unlocked Dual Sim / Never Opened / NIB	$164.50	$11.99	1	$164.50	https://www.ebay.com/itm/235038143587?nordt=true&orig_cvip=true&rt=nc	Jun 11, 2023
Vintage Nokia 3300b Mobile Phone UNTESTED for PARTS/REPAIR	$31.00	$5.50	1	$31.00	https://www.ebay.com/itm/285316010520?nordt=true&orig_cvip=true&rt=nc	Jun 11, 2023
Original Nokia 3310 Blue Unlocked 2G GSM 900/1800 Cellular Phone 1 Year WARRANTY	$16.69	$7.52	117	$1,953.21	https://www.ebay.com/itm/385239618997?nordt=true&orig_cvip=true&rt=nc	Jun 11, 2023
USA Seller Nokia 3310 4G 2019 Black 2.4in bluetooth with Camera Phone New Sealed	$55.88	$0.00	2	$111.76	https://www.ebay.com/itm/385612571275?nordt=true&orig_cvip=true&rt=nc	Jun 11, 2023
NEW Nokia 6300 4G Wifi Cell Phone-Grey/ White/Green Unlocked Dual SIM SmartPhone	$83.68	$10.25	4	$334.71	https://www.ebay.com/itm/394380087646?nordt=true&orig_cvip=true&rt=nc	Jun 11, 2023
NOKIA LUMIA 920 RM-820 32GB- BLACK (AT&T)  FREE SHIP	$20.00	$0.00	1	$20.00	https://www.ebay.com/itm/325686264434?nordt=true&orig_cvip=true&rt=nc	Jun 11, 2023
Nokia 6300 4G 2020 2.4 inches (FACTORY UNLOCKED) Quad Core Phone By FedEx	$114.32	$42.00	3	$342.97	https://www.ebay.com/itm/224307637608?nordt=true&orig_cvip=true&rt=nc	Jun 11, 2023
Microsoft 735G Lumia 16GB Verizon Wireless 4G LTE Windows Smartphone - Excellent	$48.04	$11.12	69	$3,314.55	https://www.ebay.com/itm/362264919062?nordt=true&orig_cvip=true&rt=nc	Jun 11, 2023
Nokia 3595 - Brown (T-Mobile) Cellular Phone - Parts only	$6.00	$0.00	1	$6.00	https://www.ebay.com/itm/195814646830?nordt=true&orig_cvip=true&rt=nc	Jun 11, 2023
Nokia 2780 Flip TA-1420 GSM / Verizon Unlocked Flip Phone - Red - Very Good	$66.34	$0.00	11	$729.78	https://www.ebay.com/itm/256056480381?nordt=true&orig_cvip=true&rt=nc	Jun 11, 2023
"Nokia TFNKN152DC3PWP C100 5.45"" 32GB 3GB RAM LTE Prepaid TracFone"	$19.95	$5.75	1	$19.95	https://www.ebay.com/itm/155600156152?nordt=true&orig_cvip=true&rt=nc	Jun 11, 2023
Lot of 3 Nokia Cell Phones -Black/Blue/White -NON-WORKING PARTS ONLY+Accessories	$2.25	$10.95	1	$2.25	https://www.ebay.com/itm/385660232777?nordt=true&orig_cvip=true&rt=nc	Jun 11, 2023
"Nokia TFNKN152DC3PWP C100 5.45"" 32GB 3GB RAM Blue LTE Prepaid TracFone"	$25.00	$0.00	27	$675.00	https://www.ebay.com/itm/125579551271?nordt=true&orig_cvip=true&rt=nc	Jun 11, 2023
Lot of 12 OLD Used Cell Phones Nokia,Motorola,LG,Kyocera,Ericsson  Parts/Repair	$24.99	$11.99	1	$24.99	https://www.ebay.com/itm/256105782744?nordt=true&orig_cvip=true&rt=nc	Jun 11, 2023
Nokia 3310 Navy blue Unlocked 2G GSM 900/1800 Mobile Phone - with Snake II Game	$29.06	$12.97	89	$2,586.09	https://www.ebay.com/itm/334387075627?nordt=true&orig_cvip=true&rt=nc	Jun 11, 2023
Nokia 2720 V Flip TA-1295 Verizon Wireless 4G LTE KaiOS 4GB KaiOS Smartphone 	$59.46	$9.00	132	$7,848.68	https://www.ebay.com/itm/374052710112?nordt=true&orig_cvip=true&rt=nc	Jun 11, 2023
Nokia 6310i AT&T Silver Cell Phone Vintage - Fast Shipping!	$19.91	$0.00	1	$19.91	https://www.ebay.com/itm/144645752803?nordt=true&orig_cvip=true&rt=nc	Jun 11, 2023
Nokia 6310i - Gold and Black ( Unlocked ) Very Rare International Phone / BPS-2	$44.99	$6.99	1	$44.99	https://www.ebay.com/itm/325617764596?nordt=true&orig_cvip=true&rt=nc	Jun 11, 2023
Vintage Nokia 1260 Phone w/Charger Battery & Packaging - For Collectors	$10.00	$10.85	1	$10.00	https://www.ebay.com/itm/204358502048?nordt=true&orig_cvip=true&rt=nc	Jun 11, 2023
